Id,Family
187.0, arecaceae
208.0, pinaceae
81.01, araliaceae
51.01, sapindaceae
187.0, arecaceae
158.0, casuarinaceae
187.0, arecaceae
114.01, solanaceae
58.02, chrysobalanaceae
58.02, chrysobalanaceae
153.01, urticaceae
51.03, aceraceae
200.0, poaceae
153.03, eucommiaceae
200.0, poaceae
107.0, asclepiadaceae
88.0, compositae
84.01, rubiaceae
200.0, poaceae
187.0, arecaceae
999.99, family
88.0, compositae
131.01, chenopodiaceae
999.99, family
125.01, verbenaceae
3221.01, phallaceae
106.0, apocynaceae
84.01, rubiaceae
132.03, gyrostemonaceae
101.01, sapotaceae
28.01, theaceae
253.0, equisetaceae
80.0, apiaceae
159.03, fagaceae
143.01, lauraceae
187.0, arecaceae
58.01, rosaceae
187.0, arecaceae
137.01, rafflesiaceae
159.02, corylaceae
51.01, sapindaceae
153.08, ticodendraceae
187.0, arecaceae
67.01, myrtaceae
75.0, cucurbitaceae
53.01, anacardiaceae
101.01, sapotaceae
115.0, scrophulariaceae
32.0, sterculiaceae
57.01, leguminosae
159.01, betulaceae
83.01, caprifoliaceae
67.01, myrtaceae
93.01, ericaceae
88.0, compositae
151.01, euphorbiaceae
187.0, arecaceae
33.01, tiliaceae
159.02, corylaceae
45.03, icacinaceae
102.0, ebenaceae
39.01, rutaceae
187.0, arecaceae
104.0, oleaceae
88.0, compositae
95.0, epacridaceae
84.01, rubiaceae
57.01, leguminosae
58.01, rosaceae
39.01, rutaceae
28.01, theaceae
187.0, arecaceae
43.01, meliaceae
115.0, scrophulariaceae
51.03, aceraceae
210.0, cupressaceae
1.01, ranunculaceae
200.0, poaceae
200.0, poaceae
200.0, poaceae
75.0, cucurbitaceae
11.0, brassicaceae
200.0, poaceae
187.0, arecaceae
57.03, leguminosae
67.01, myrtaceae
200.0, poaceae
107.0, asclepiadaceae
58.01, rosaceae
187.0, arecaceae
86.01, dipsacaceae
187.0, arecaceae
187.0, arecaceae
57.02, leguminosae
159.03, fagaceae
187.0, arecaceae
57.01, leguminosae
58.02, chrysobalanaceae
84.01, rubiaceae
187.0, arecaceae
57.01, leguminosae
43.01, meliaceae
153.05, moraceae
200.0, poaceae
67.01, myrtaceae
12.01, capparaceae
187.0, arecaceae
81.01, araliaceae
126.01, lamiaceae
3204.02, polyporaceae
88.0, compositae
171.0, bromeliaceae
32.0, sterculiaceae
38.01, geraniaceae
4.06, schisandraceae
69.01, lythraceae
187.0, arecaceae
81.01, araliaceae
200.0, poaceae
187.0, arecaceae
88.0, compositae
39.01, rutaceae
160.0, salicaceae
187.0, arecaceae
151.01, euphorbiaceae
37.0, zygophyllaceae
11.0, brassicaceae
57.02, leguminosae
57.02, leguminosae
153.01, urticaceae
88.0, compositae
59.01, saxifragaceae
57.02, leguminosae
134.0, polygonaceae
187.0, arecaceae
175.28, amaryllidaceae
170.01, zingiberaceae
153.05, moraceae
200.0, poaceae
159.03, fagaceae
307.0, schizaeaceae
316.0, dicksoniaceae
200.0, poaceae
112.01, boraginaceae
191.01, araceae
114.01, solanaceae
81.01, araliaceae
104.0, oleaceae
125.01, verbenaceae
33.01, tiliaceae
78.01, cactaceae
106.0, apocynaceae
39.01, rutaceae
200.0, poaceae
57.01, leguminosae
4249.02, laminariaceae
191.01, araceae
31.02, bombacaceae
159.03, fagaceae
115.0, scrophulariaceae
29.01, dipterocarpaceae
53.01, anacardiaceae
75.0, cucurbitaceae
112.01, boraginaceae
106.0, apocynaceae
153.05, moraceae
327.0, aspleniaceae
58.02, chrysobalanaceae
58.01, rosaceae
126.01, lamiaceae
53.01, anacardiaceae
37.0, zygophyllaceae
47.01, celastraceae
84.01, rubiaceae
151.01, euphorbiaceae
