index,family-name
1.01,ranunculaceae
1.02,circaeasteraceae
1.03,paeoniaceae
1.04,glaucidiaceae
2.01,dilleniaceae
2.02,crossosomataceae
3.01,calycanthaceae
3.02,idiospermaceae
4.01,magnoliaceae
4.02,winteraceae
4.03,illiciaceae
4.04,himantandraceae
4.05,degeneriaceae
4.06,schisandraceae
4.07,trochodendraceae
4.08,tetracentraceae
4.09,cercidiphyllaceae
4.10,eupteleaceae
5.01,annonaceae
5.02,eupomatiaceae
6.01,menispermaceae
6.02,sabiaceae
7.01,berberidaceae
7.02,lardizabalaceae
7.03,sargentodoxaceae
8.01,nymphaeaceae
8.02,cabombaceae
8.03,ceratophyllaceae
8.04,nelumbonaceae
9.00,sarraceniaceae
10.00,papaveraceae
10.99,fumariaceae
11.00,cruciferae
11.00,brassicaceae
12.01,capparaceae
12.01,cleomaceae
12.01,koeberliniaceae
12.01,pentadiplandraceae
12.01,setchellanthaceae
12.02,tovariaceae
12.03,physenaceae
13.00,resedaceae
14.00,cistaceae
15.00,violaceae
16.00,canellaceae
17.01,bixaceae
17.02,cochlospermaceae
17.03,aphloiaceae
17.03,berberidopsidaceae
17.03,gerrardinaceae
17.03,flacourtiaceae
17.04,peridiscaceae
17.05,scyphostegiaceae
17.06,lacistemataceae
17.08,asteropeiaceae
18.00,pittosporaceae
19.00,tremandraceae
20.01,polygalaceae
20.03,trigoniaceae
20.04,krameriaceae
20.05,euphroniaceae
21.01,frankeniaceae
21.02,gisekiaceae
21.03,limeaceae
21.03,molluginaceae
21.03,limaceae
22.01,caryophyllaceae
22.02,illicebraceae
23.01,portulacaceae
23.01,talinaceae
23.01,montiaceae
23.02,hectorellaceae
24.01,tamaricaceae
24.02,fouquieriaceae
25.00,elatinaceae
27.01,bonnetiaceae
27.01,calophyllaceae
27.01,clusiaceae
27.01,hypericaceae
27.01,guttiferae
27.02,quiinaceae
28.01,sladeniaceae
28.01,theaceae
28.02,caryocaraceae
28.03,marcgraviaceae
28.04,pentaphylacaceae
28.05,nepenthaceae
28.06,acanthaceae
28.07,droseraceae
28.07,drosophyllaceae
28.08,dioncophyllaceae
28.08,pellicieraceae
28.09,stachyuraceae
28.11,tetrameristaceae
28.11,medusagynaceae 
28.13,strasburgeriaceae
29.01,dipterocarpaceae
29.04,dipterocarpaceae
30.00,sarcolaenaceae
31.00,malvaceae
31.01,malvaceae
31.02,bombacaceae
32.00,sterculiaceae
33.01,muntingiaceae
33.01,tiliaceae 
33.01,tiliaceae
33.02,elaeocarpaceae
33.03,scytopetalaceae
33.04,plagiopteraceae
34.00,malvaceae (bombacaceae)
34.01,linaceae
34.02,erythroxylaceae
34.03,ixonanthaceae
34.04,irvingiaceae
34.05,ctenolophonaceae
34.06,huaceae
35.00,humiriaceae
36.00,malpighiaceae
37.00,nitrariaceae
37.00,zygophyllaceae
38.01,biebersteiniaceae
38.01,dirachmaceae
38.01,geraniaceae
38.01,vivianiaceae
38.02,tropaeolaceae
38.03,limnanthaceae
38.05,lepidobotryaceae
38.06,oxalidaceae
38.08,balsaminaceae
39.01,rutaceae
39.02,rhabdodendraceae
39.03,pterostemonaceae
40.01,kirkiaceae
40.01,picramniaceae
40.01,simaroubaceae
40.02,cneoraceae
40.03,surianaceae
40.04,brunelliaceae
40.07,balanitaceae
41.01,ochnaceae
41.02,sphaerosepalaceae
41.03,diegodendraceae 
42.00,burseraceae
43.01,meliaceae
43.02,ptaeroxylaceae
44.00,dichapetalaceae
45.01,olacaceae
45.02,opiliaceae
45.03,icacinaceae
45.03,metteniusaceae
45.03,pennantiaceae
45.03,stemonuraceae
45.04,cardiopteridaceae
45.05,medusandraceae 
45.06,dipentodontaceae
45.07,sphenostemonaceae
