fam_genus_code,genus
86.0/1,albizia
86.0/2,acacia
87.0/1,cercis
87.0/2,senna
88.0/1,thermopsis
88.0/2,lupinus
88.0/3,laburnum
88.0/4,cytisus
88.0/5,genista
88.0/6,spartium
88.0/7,ulex
88.0/8,arachis
88.0/9,wisteria
88.0/10,glycine
88.0/11,vigna
88.0/12,phaseolus
88.0/13,bituminaria
88.0/14,cullen
88.0/15,sesbania
88.0/16,hippocrepis
88.0/17,scorpiurus
88.0/18,securigera
88.0/19,coronilla
88.0/20,anthyllis
88.0/21,hymenocarpus
88.0/22,ornithopus
88.0/23,lotus
88.0/24,dorycnium
88.0/25,tetragonolobus
88.0/26,robinia
88.0/27,oxytropis
88.0/28,astragalus
88.0/29,colutea
88.0/30,galega
88.0/31,caragana
88.0/32,hedysarum
88.0/33,onobrychis
88.0/34,cicer
88.0/35,trifolium
88.0/37,melilotus
88.0/38,trigonella
88.0/39,medicago
88.0/40,vicia
88.0/41,lens
88.0/42,lathyrus
88.0/43,pisum
89.0/1,hippophae
89.0/2,elaeagnus
90.0/1,haloragis
90.0/2,myriophyllum
91.0/1,gunnera
92.0/1,lythrum
93.0/1,daphne
94.0/1,luma
94.0/2,ugni
94.0/3,eucalyptus
94.0/4,leptospermum
95.0/1,epilobium
95.0/2,chamerion
95.0/3,ludwigia
95.0/4,zauscheria
95.0/5,oenothera
95.0/6,clarkia
95.0/7,fuchsia
95.0/8,circaea
96.0/1,cornus
96.0/2,swida
96.0/3,chamaepericlymenum
96.0/4,aucuba
96.1/1,garrya
97.0/1,thesium
98.0/1,viscum
99.0/1,euonymus
99.0/2,celastrus
100.0/1,ilex
101.0/1,buxus
101.0/2,pachysandra
102.0/1,mercurialis
102.0/2,ricinus
102.0/3,chrozophora
102.0/4,euphorbia
103.0/1,rhamnus
103.0/2,frangula
104.0/1,vitis
104.0/2,parthenocissus
104.0/3,cissus
105.0/1,linum
105.0/2,radiola
106.0/1,polygala
107.0/1,staphylea
108.0/1,koelreuteria
109.0/1,aesculus
110.0/1,acer
111.0/1,rhus
111.0/2,cotinus
112.0/1,ailanthus
113.0/1,ruta
113.0/2,choisya
113.0/3,skimmia
113.0/4,correa
114.0/1,oxalis
115.0/1,geranium
115.0/2,monsonia
115.0/3,erodium
115.0/4,pelargonium
116.0/1,limnanthes
117.0/1,tropaeolum
118.0/1,impatiens
119.0/1,hedera
119.0/2,fatsia
119.0/3,aralia
120.0/1,hydrocotyle
120.0/2,sanicula
120.0/3,astrantia
120.0/4,eryngium
120.0/5,chaerophyllum
120.0/6,anthriscus
120.0/7,scandix
120.0/8,myrrhis
120.0/9,coriandrum
120.0/10,bifora
120.0/11,smyrnium
120.0/12,bunium
120.0/13,conopodium
120.0/14,pimpinella
120.0/15,aegopodium
120.0/16,sium
120.0/17,berula
120.0/18,crithmum
120.0/19,seseli
120.0/20,oenanthe
120.0/21,aethusa
120.0/22,foeniculum
120.0/23,anethum
120.0/24,silaum
120.0/25,meum
120.0/26,physospermum
120.0/27,conium
120.0/28,bupleurum
120.0/29,trinia
120.0/30,cuminum
120.0/31,apium
120.0/32,trachyspermum
120.0/33,petroselinum
120.0/34,ridolphia
120.0/35,sison
120.0/36,cicuta
120.0/37,ammi
120.0/38,falcaria
120.0/39,carum
120.0/40,selinum
120.0/41,ligusticum
120.0/42,angelica
120.0/43,levisticum
120.0/44,ferula
120.0/45,peucedanum
120.0/46,pastinaca
120.0/47,heracleum
120.0/48,tordylium
120.0/49,laser
120.0/50,torilis
120.0/51,caucalis
120.0/52,turgenia
120.0/53,daucus
121.0/1,cicendia
121.0/2,exaculum
121.0/3,centaurium
121.0/4,blackstonia
121.0/5,gentianella
121.0/6,gentiana
122.0/1,vinca
122.1/1,nolana
123.0/1,nicandra
123.0/2,lycium
123.0/3,vestia
123.0/4,iochroma
123.0/5,atropa
123.0/6,scopolia
123.0/7,hyoscyamus
123.0/8,salpichroa
123.0/9,physalis
123.0/10,capsicum
123.0/11,lycopersicon
123.0/12,solanum
124.0/12,datura
124.0/14,nicotiana
124.0/15,petunia
125.0/1,dichondra
125.0/2,convolvulus
125.0/3,calystegia
127.0/1,cuscuta
127.0/2,nymphoides
128.0/1,polemonium
128.0/2,phlox
128.0/3,navarretia
129.0/1,phacelia
129.0/2,nemophila
130.0/1,heliotropium
130.0/2,lithospermum
130.0/3,buglossoides
130.0/4,echium
130.0/5,pulmonaria
130.0/6,symphytum
130.0/7,brunnera
130.0/8,nonea
130.0/9,anchusa
130.0/10,cynoglottis
130.0/11,pentaglottis
130.0/12,borago
130.0/13,trachystemon
130.0/14,mertensia
130.0/15,amsinckia
130.0/16,plagiobothrys
130.0/17,asperugo
130.0/18,myosotis
130.0/19,lappula
130.0/20,omphalodes
130.0/21,cynoglossum
131.0/1,verbena
131.0/2,clerodendron
132.0/1,betonica
132.0/2,stachys
132.0/3,ballota
132.0/4,leonurus
132.0/5,lamiastrum
132.0/6,lamium
132.0/7,galeopsis
132.0/8,phlomis
132.0/9,melittis
132.0/10,marrubium
132.0/11,scutellaria
132.0/12,teucrium
132.0/13,ajuga
132.0/14,nepeta
132.0/15,glechoma
132.0/16,prunella
132.0/17,dracocephalum
132.0/18,melissa
132.0/19,satureja
132.0/20,clinopodium
132.0/21,calamintha
132.0/22,acinos
132.0/23,hyssopus
132.0/24,origanum
132.0/25,thymus
132.0/26,lycopus
132.0/27,mentha
132.0/28,lavandula
132.0/29,rosmarinus
132.0/30,salvia
133.0/1,hippuris
134.0/1,plantago
134.0/2,littorella
135.0/1,buddleja
136.0/1,osmanthus
136.0/2,phillyrea
136.0/3,ligustrum
136.0/4,syringa
136.0/5,fraxinus
136.0/6,forsythia
136.0/7,jasminum
137.0/1,verbascum
137.0/2,scrophularia
137.0/3,phygelius
137.0/4,paulownia
137.0/5,mimulus
137.0/6,limosella
137.0/7,calceolaria
137.0/8,antirrhinum
137.0/9,chaenorhinum
137.0/10,misopates
137.0/11,asarina
137.0/12,cymbalaria
137.0/13,kickxia
137.0/14,linaria
137.0/15,nemesia
137.0/16,digitalis
137.0/17,erinus
137.0/18,veronica
137.0/19,veronicastrum
137.0/20,hebe
137.0/21,sibthorpia
137.0/22,melampyrum
137.0/23,euphrasia
137.0/24,odontites
137.0/25,bartsia
137.0/26,parentucellia
137.0/27,rhinanthus
137.0/28,pedicularis
138.0/1,lathraea
138.0/2,orobanche
139.0/1,ramonda
140.0/1,acanthus
140.1/1,catalpa
141.0/1,pinguicula
141.0/2,utricularia
