family_genus,name
142/1,Campanula L.
142/2,Legousia 
142/3,Wahlenbergia W.
142/4,Trachelium L.
142/5,Phyteuma L.
142/6,Jasione L.
142/7,Lobelia L.
142/8,Pratia P.
142/9,Downingia 
143/1,Coprosma 
143/2,Nertera 
143/3,Sherardia L.
143/4,Phuopsis 
143/5,Asperula A.
143/6,Galium L.
143/7,Cruciata 
143/8,Rubia L.
144/1,Sambucus L.
144/2,Viburnum L.
144/3,Symphoricarpos 
144/4,Linnaea L.
144/5,Leycesteria 
144/6,Weigela 
144/7,Lonicera L.
144/8,Kolkwitzia 
145/1,Adoxa 
146/1,Valerianella V.
146/2,Valeriana L.
146/3,Centranthus DC.
147/1,Dipsacus L.
147/2,Cephalaria C.
147/3,Knautia L.
147/4,Succisa 
147/5,Scabiosa L.
148/1,Echinops L.
148/2,Carlina L.
148/3,Arctium 
148/4,Saussurea 
148/5,Carduus L.
148/6,Cirsium C.
148/7,Onopordon L.
148/8,Cynara L.
148/9,Silybum 
148/10,Serratula L.
148/11,Acroptilon 
148/12,Centaurea L.
148/13,Cnicus 
148/14,Carthamus L.
148/15,Scolymus L.
148/16,Cichorium L.
148/17,Catananche L.
148/18,Arnoseris 
148/19,Lapsana L.
148/20,Hedypnois 
148/21,Rhagadiolus 
148/22,Hypochaeris L.
148/23,Scorzoneroides 
148/24,Leontodon L.
148/25,Picris L.
148/26,Helminthotheca Zinn
148/27,Scorzonera L.
148/28,Tragopogon L.
148/29,Aetheorhiza 
148/30,Sonchus L.
148/31,Lactuca L.
148/32,Cicerbita 
148/33,Mycelis 
148/34,Taraxacum History
148/35,Crepis L.
148/36,Tolpis 
148/37,Andryala L.
148/38,Pilosella 
148/39,Hieracium L.
148/40,Arctotis L.
148/41,Arctotheca 
148/42,Gazania 
148/43,Berkheya 
148/44,Filago L.
148/45,Antennaria 
148/46,Anaphalis DC.
148/47,Gnaphalium L.
148/48,Helichrysum H.
148/49,Cassinia 
148/50,Inula L.
148/51,Dittrichia 
148/52,Pulicaria 
148/53,Buphthalmum L.
148/54,Telekia 
148/55,Grindelia 
148/56,Calotis C.
148/57,Solidago L.
148/58,Aster L.
148/59,Chrysocoma L.
148/60,Erigeron L.
148/61,Conyza C.
148/62,Callistephus 
148/63,Olearia 
148/64,Baccharis L.
148/65,Bellis L.
148/66,Tanacetum L.
148/67,Artemisia L.
148/68,Santolina L.
148/69,Otanthus 
148/70,Achillea L.
148/71,Chamaemelum 
148/72,Anthemis L.
148/73,Xanthophthalmum 
148/74,Leucanthemella 
148/75,Coleostephus 
148/76,Leucanthemum superbum
148/77,Chrysanthemum 
148/78,Oncosiphon Oncosiphon
148/79,Matricaria L.
148/80,Tripleurospermum 
148/81,Cotula
148/82,Senecio L.
148/83,Pericallis 
148/84,Tephroseris 
148/85,Delairea 
148/86,Brachyglottis jubar
148/87,Sincalia 
148/88,Ligularia 
148/89,Doronicum L.
148/90,Tussilago L.
148/91,Petasites 
148/92,Homogyne 
148/93,Calendula L.
148/94,Ambrosia L.
148/95,Iva 
148/96,Xanthium L.
148/97,Guizotia 
148/98,Sigesbeckia L.
148/99,Rudbeckia L.
148/100,Helianthus L.
148/101,Heliopsis 
148/102,Galinsoga 
148/103,Bidens L.
148/104,Coreopsis L.
148/105,Cosmos 
148/106,Dahlia 
148/107,Tagetes L.
148/108,Schkuhria 
148/109,Gaillardia 
148/110,Helenium L.
148/111,Eupatorium L.
148/112,Ageratum L.
