Family Name,Index
ACANTHACEAE,156
ACERACEAE,95
ADIANTACEAE,8
ADOXACEAE,165
AGAVACEAE,184
ALISMATACEAE,170
AMARANTHACEAE,49
AMARYLLIDACEAE,185
ANACARDIACEAE,94
APOCYNACEAE,142
APONOGETONACEAE,174
AQUIFOLACEAE,99
ARACEAE,195
ARISTOLOCHIACEAE,44
ASCLEPIADACEAE,143
ASPLENIACEAE,17
AZOLLACEAE,25
BALANOPHORACEAE,46
BALSAMNACEAE,98
BASELLACEAE,56
BERBERIDACEAE,63
BETULACEAE,34
BLECHNACEAE,21
BORAGINACEAE,148
BROMELIACEAE,190
BUDDLEJACEAE,153
BUTOMACEAE,171
BUXACEAE,102
CACTACEAE,118
CALLITRCHACEAE,150
CAMPANULACEAE,168
CANNABACEAE,39
CANNACEAE,202
CAPPARIDACEAE,67
CAPRIFOLIACEAE,164
CELASTRACEAE,100
CERATOPHYLLACEAE,60
CHENOPODIACEAE,48
CISTACEAE,112
CLUSIACEAE,109
CNEORACEAE,89
COMMELINACEAE,191
COMPOSITAE,169
CONVOLVULACEAE,146
CORIARIACEAE,93
CORNACEAE,127
CORYLACEAE,35
CRASSULACEAE,72
CRUCIFERAE,68
CUCURBITACEAE,117
CUPRESSACEAE,28
CYPERACEAE,199
CYTINACEAE,45
DATISCACEAE,116
DIAPENSIACEAE,130
DICKSONIACEAE,12
DIOSCOREACEAE,186
DIPSACACEÄE,167
DROSERACEAE,71
EBENACEAE,137
ELAEAGNACEAE,108
ELAPHOGLOSSACEAE,20
ELATINACEAE,115
EMPETRACEAE,133
EPHEDRACEAE,30
EQUISETACEAE,4
ERICACEAE,132
ERIOCAULACEAE,192
ESCALLONIACEAE,76
EUPHORBIACEAE,87
FAGACEAE,36
FRANKENIACEAE,114
GENTIANACEAE,140
GERANIACEAE,83
GESNERIACEAE,159
GLOBULARIACEAE,155
GRAMINEAE,193
GROSSULARIACEAE,77
GUTTIFERAE,109
GYMNOGRAMMACEAE,11
HALORAGACEAE,124
HIPPOCASTANACEAE,97
HIPPURIDACEAE,126
HYDRANGEACEAE,75
HYDROCHARITACEAE,172
HYDROPHYLLACEAE,147
HYMENOPHYLLACEAE,15
HYPOLEPIDACEAE,13
IRIDACEAE,188
ISOETACEAE,3
JUGLANDACEAE,33
JUNCACEAE,189
JUNCAGINACEAE,175
LABIATAE,151
LAURACEAE,65
LEGUMINOSAE,81
LEMNACEAE,196
LENTIBULARIACEAE,161
LILAEACEAE,176
LINACEAE,86
LORANTHACEAE,43
LYCOPODIACEAE,1
LYTHRACEAE,119
MAGNOLIACEAE,64
MALVACEAE,106
MARSILEACEAE,23
MARTYNIACEAE,158
MELIACEAE,91
MENYANTHACEAE,141
MOLLUGINACEAE,53
MORACEAE,38
MUSACEAE,200
MYOPORACEAE,162
MYRICACEAE,32
MYRSINACEAE,134
MYRTACEAE,121
NAJADACEAE,182
NELUMBONACEAE,59
NYCTAGINACEAE,50
NYMPHAEACEAE,58
OENOTHERACEAE,123
OLEACEAE,139
ONAGRACEAE,123
OPHIOGLOSSACEAE,5
ORCHIDACEAE,203
OROBANCHACEAE,160
OSMUNDACEAE,6
OXALIDACEAE,82
PAEONIACEAE,62
PALMAE,194
PAPAVERACEAE,66
PARNASSIACEAE,74
PASSIFLORACEAE,111
PEDALIACEAE,157
PHYTOLACCACEAE,51
PINACEAE,26
PITTOSPORACEAE,78
PLANTAGNACEAE,163
PLATANACEAE,79
PLUMBAGINACEAE,136
POLEMONIACEAE,145
POLYGALACEAE,92
POLYGONACEAE,47
POLYPODIACEAE,22
PONTEDERIACEAE,187
PORTULACACEAE,55
POTAMOGETONACEAE,177
PROTEACEAE,41
PTERIDACEAE,9
PUNICACEAE,122
PYROLACEAE,131
RAFFLESIACEAE,45
RANUNCULACEAE,61
RESEDACEAE,69
RHAMNACEAE,103
ROSACEAE,80
RUPPIACEAE,178
RUTACEAE,88
SALICACEAE,31
SALVINIACEAE,24
SANTALACEAE,42
SAPINDACEAE,96
SARRACENIACEAE,70
SAXIFRAGACEAE,73
SCHEUCHZERIACEAE,173
SCROPHULARIACEAE,154
SIMAROUBACEAE,90
SINOPTERIDACEAE,7
SOLANACEAE,152
SPARGANIACEAE,197
STAPHYLEACEAE,101
STYRACACEAE,138
TAMARICACEAE,113
TAXACEAE,29
TAXODIACEAE,27
TETRAGONIACEAE,54
THELIGONACEAE,125
THELYPTERIDACEAE,16
THYMELAEACEAE,107
TILIACEAE,105
TRAPACEAE,120
TROPAEOLACEAE,84
TYPHACEAE,198
ULMACEAE,37
UMBELLIFERAE,129
URTICACEAE,40
VALERIANACEAE,166
VERBENACEAE,149
VIOLACEAE,110
VITACEAE,104
ZANNICHELLIACEAE,181
ZINGIBERACEAE,201
ZOSTERACEAE,180
ZYGOPHYLLACEAE,85
