genus name,family number,genus number
abelmoschus medicus,106,13
abies miller,26,1
abutilon miller,106,9
acacia miller,81,4
acalypha l.,87,5
acantholimon boiss.,136,3
acanthus l.,156,1
acer l.,95,1
aceras r. br.,203,25
achillea l.,169,58
achnatherum beauv.,193,106
achyranthes l.,49,3
acinos miller,151,26
aconitum l.,61,11
acroptilon cass.,169,136
adenophora besser,168,4
adenostyles cass.,169,92
adiantum l.,8,1
adoxa l.,165,1
aegilops l.,193,52
aegopodium l.,129,26
aesculus l.,97,1
aetheorhiza cass.,169,165
aethionema r. br.,68,75
agrimonia l.,80,11
agropyron gaertner,193,49
agrostemma l.,57,26
agrostis l.,193,87
ailanthus desf.,90,1
aira l.,193,76
airopsis desv.,193,78
aizoon l.,52,1
ajuga l.,151,1
aldrovanda l.,71,1
alhagi gagnebin,81,73
alisma l.,170,4
alkanna tausch,148,12
ainus miller,34,2
aloe l.,183,14
alternanthera forskal,49,4
althenia petit,181,1
alyssoides miller,68,48
alyssum l.,68,50
amaranthus l.,49,2
ambrosia l.,169,49
ambrosina bassi,195,9
amelanchier medicus,80,30
ammannia l.,119,2
ammi l.,129,66
ammochloa boiss.,193,38
ammoides adanson,129,68
ammophila host,193,90
amorpha l.,81,42
ampelodesmos link,193,107
amphoricarpos vis.,169,105
amsinckia lehm.,148,26
anabasis l.,48,29
anaeamptis l. c. m. richard,203,28
anacylus l.,169,63
anarrhinum desf.,154,9
anchusa l.,148,21
andrachne l.,87,1
androcymbium willd.,183,15
andromeda l.,132,16
andropogon l.,193,149
androsace l.,135,3
andryala l.,169,180
andrzeiowskia reichenb.,68,62
anemone l.,61,14
anethum l.,129,41
anogramma link,11,1
antennaria gaertner,169,26
anthoxanthum l.,193,82
anthriscus pers.,129,13
anthyllis l.,81,63
antinoria pari.,193,80
antirrhinum l.,154,10
apera adanson,193,32
aphanes l.,80,24
aphyllanthes l.,183,11
apios fabr.,81,44
aposeris cass.,169,156
aptenia n. e. br.,52,5
aquilegia l.,61,22
arachis l.,81,74
araujia brot.,143,2
arbutus l.,132,12
arceuthobium bieb.,43,3
archangelica n. m. wolf,129,80
arctagrostis griseb.,193,25
arctium l.,169,112
arctostaphylos adanson,132,13
arctotheca wendl.,169,103
arctous a. gray,,
aremonia nestler,80,12
arenaria l.,57,1
argemone l.,66,3
argusia boehmer,148,1
argyrolobium ecklon  zeyher,81,29
arisarum miller,195,8
aristolochia l.,44,2
armeria willd.,136,4
armoracia gilib.,68,39
arnoseris gaertner,169,151
arrhenatherum beauv.,193,64
artemisia l.,169,88
arthrocnemum moq.,48,20
arum l.,195,6
aruncus l.,80,5
arundinaria michx,193,2
arundo l.,193,108
asarina miller,154,11
asarum l.,44,1
asclepias l.,143,4
asparagus l.,183,48
asperugo l.,148,27
asperula l.,144,4
asphodeline reichenb.,183,6
asphodelus l.,183,5
aster l.,169,7
asteriscus miller,169,39
asterolinon hoffmanns.  link,135,10
astragalus l.,81,38
astrantia l.,129,6
astrodaucus drude,129,103
asyneuma griseb.  schenk,168,8
athamanta l.,129,37
athyrium roth,18,1
atractylis l.,169,107
atraphaxis l.,47,12
atriplex l.,48,6
atropis rupr.,193,21
aubrieta adanson,68,44
aulacospermum ledeb.,129,50
avellinia park,193,85
axyris l.,48,10
azolla lam.,25,1
azorina feer,168,2
bacopa aublet,154,3
baldellia pari.,170,2
ballota l.,151,15
balsamita miller,169,71
barbarea r. br.,68,36
badia pari.,203,27
bartsia l.,154,31
bassia all.,48,12
beckmannia host,193,27
bellardia ail.,154,33
bellardiochloa chiov.,193,17
bellevalia lapeyr.,183,33
beilis l.,169,5
bellium l.,169,6
berardia vili.,169,111
bergenia moench,73,2
berula koch,129,28
beta l.,48,2
betonica l.,151,16
betula l.,34,1
biarum schott,195,7
biebersteinia stephan,83,3
bifora hoffm.,129,18
bilderdykia dumort.,47,3
biscutella l.,68,78
blackstonia hudson,140,3
blechnum l.,21,1
blysmus panzer,199,2
blyxa noronha ex thouars,172,8
bolboschoenus ascherson,,
boleum desv.,68,98
bonannia guss.,129,83
bonaveria scop.,81,62
borago l.,148,23
bornmuellera hausskn.,68,55
boschniakia c. a. meyer,160,3
botrychium swartz,5,2
brachyapium bâillon,,
brachypodium beauv.,193,45
braya sternb.  hoppe,68,10
brimeura salisb.,183,31
bruckenthalia reichenb.,132,2
brunnera steven,148,20
bryonia l.,117,3
bryophyllum salisb.,72,2
buddleja l.,153,1
bufonia l.,57,5
buglossoides moench,148,6
bulbocastanum miller,129,21
bulbocodium l.,183,17
bunium l.,129,21
buphthalmum l.,169,36
bupleurum l.,129,56
butomus l.,171,1
buxus l.,102,1
cacalia l.,169,99
cachrys l.,129,52
calamagrostis adanson,193,91
calamintha miller,151,27
caldesia pari.,170,5
calepina adanson,68,104
calicotome link,81,10
callianthemum c. a. meyer,61,3
calligonum l.,47,11
callipeltis steven,144,6
calluna salisb.,132,3
caiophaca fischer,81,37
caltha l.,61,10
calycocorsus f. w. schmidt,169,175
calypso salisb.,203,32
calystegia r. br.,146,4
camelina crantz,68,66
campanula l.,168,1
camphorosma l.,48,11
cannabis l.,39,2
capnophyllum gaertner,129,85
capparis l.,67,1
capsella medicus,68,68
caragana fabr.,81,36
caralluma r. br.,143,8
cardamine l.,68,41
cardaria desv.,68,81
cardiospermum l.,96,1
cardopatum pers.,169,109
carduncellus adanson,169,144
carlina l.,169,106
carpesium l.,169,34
carpinus l.,35,1
carpobrotus n. e. br.,52,3
carya nutt.,33,2
cassandra d. don,132,17
cassiope d. don,132,4
castanea miller,36,2
castellia tineo,193,10
catabrosa beauv.,193,30
catabrosella tzvelev,,
catananche l.,169,147
cedronella moench,151,17
cedrus trew,26,6
ceiosia l.,49,1
celsia l.,154,7
cenchrus l.,193,142
centaurium hill,140,4
centunculus l.,135,12
cephalanthera l. c. m. richard,203,3
cephalaria schrader,167,2
cephalorrhynchus boiss.,169,167
ceratocapnos durieu,66,15
ceratocarpus l.,48,9
ceratocephalus pers.,61,20
ceratonia l.,81,2
ceratophyllum l.,60,1
ceratostigma bunge,136,2
cercis l.,81,1
cerefolium fabr.,129,13
cereus miller,118,2
cerinthe l.,148,10
cestrum l.,152,15
chaerophyllum l.,129,12
chaetopogon janchen,193,92
chamaecyparis spach,28,2
chamaecytisus link,81,13
chamaedaphne moench,132,17
chamaemelum miller,169,59
chamaepericlymenum hill,127,1
chamaerops l.,194,1
chamaespartium adanson,81,17
chamomilla s. f. gray,169,61
chamorchis l. c. m. richard,203,14
chartolepis cass.,169,140
cheilanthes swartz,7,1
cheiranthus l.,69,26
cheirolophus cass.,169,129
chelidonium l.,66,6
chenopodium l.,48,3
chimaphila pursh,131,4
chronanthus dc.,,
chrysanthemoides fabr.,169,101
chrysanthemum l.,169,66
chrysopogon trin.,193,147
chrysosplenium l.,73,3
cicendia adanson,140,1
cicer l.,81,48
cicerbita wallr.,169,170
cichorium l.,169,146
cimicifuga l.,61,9
cionura griseb.,143,7
circinnus medicus,81,61
cirsium miller,169,118
cistanche hoffmanns.  link,160,1
cistus l.,112,1
citrullus schrader,117,4
citrus l.,88,4
cladanthus cass.,169,62
cladium browne,199,8
clausia trotzky,68,27
cleistogenes keng,193,120
clematis l.,61,17
clinopodium l.,151,28
clypeola l.,68,57
cneorum l.,89,1
cnidium cusson,129,75
cochlearia l.,68,63
coeloglossum hartman,203,18
coincya rouy,68,94
coix l.,193,154
colchicum l.,183,16
coleanthus seidl,193,100
coleostephus cass.,169,80
colladonia dc.nonsprengel,129,53
colocasia schott,195,5
comandra nutt.,42,1
commelina l.,191,3
commicarpus standley,50,1
comperia c. koch,203,21
conioselinum hoffm.,129,79
conium l.,129,47
conopodium koch,129,22
conringia adanson,68,84
consolida dc.,,
corallorhiza chatel.,203,31
corema d. don,133,1
coriandrum l.,129,17
coriaria l.,93,1
corispermum l.,48,14
cornucopiae l.,193,95
coronaria schaeffer,57,25
coronilla l.,81,65
coronopus haller,68,82
corrigiola l.,57,14
cortaderia stapf,193,110
cortusa l.,135,4
corydalis vent.,66,10
corylus l.,35,3
corynephorus beauv.,193,84
cotinus miller,94,2
cotoneaster medicus,80,31
cousinia cass.,169,113
crambe l.,68,103
crassula l.,72,1
crithmum l.,129,29
crithopsis jaub.  spach,193,51
crocus l.,188,7
crucianella l.,144,3
cruciata miller,144,7
crypsis aiton,193,123
cryptogramma r. br.,10,1
cryptomeria d. don,27,4
ctenopsis de not.,193,7
cucumis l.,117,5
cucurbita l.,117,6
culcita c. presi,12,1
cuminum l.,129,58
cupressus l.,28,1
cyanopsis cass.,169,134
cyclamen l.,135,7
cycloloma moq.,48,4
cyclosorus link,16,2
cydonia miller,80,25
cymbalaria hill,154,15
cymbaria l.,154,38
cynanchum l.,143,5
cynocrambe gagnebin,125,1
cynodon l. c. m. richard,193,126
cynoglossum l.,148,34
cynomorium l.,46,1
cynosurus l.,193,28
cypripedium l.,203,1
cystopteris bernh.,18,3
cytinus l.,45,1
cytisus l.,81,12
daboecia d. don,132,11
dactyloctenium willd.,193,125
dactylorhiza necker ex nevski,203,19
damasonium miller,170,6
datisca l.,116,1
davallia sm.,14,1
daveaua willk. ex mariz,169,77
degenia hayek,68,49
dentaria l.,68,41
deschampsia beauv.,193,74
dethawia endl.,129,31
deutzia thunb.,75,2
diapensia l.,130,1
diarthron turcz.,107,3
dicentra bernh.,66,9
dichanthium willemet,193,148
dichondra j. r.  g. forster,146,3
dictamnus l.,88,3
didesmus desv.,68,102
digitaria haller,193,137
dioscorea l.,186,1
diosphaera buser,168,6
diospyros l.,137,1
dipcadi medicus,183,35
diplazium swartz,18,2
dipsacus l.,167,3
diptychocarpus trautv.,68,32
dispermotheca beauverd,154,30
disphyma n. e. br.,52,6
dittrichia w. greuter,169,32
dodartia l.,154,6
doronicum l.,169,94
dorycnium miller,81,58
dorycnopsis boiss.,81,63
dracocephalum l.,151,20
dracunculus miller,195,10
drosophyllum link,71,3
dryopteris adanson,19,2
drypis l.,57,30
duchesnea sm.,80,22
dupontia r. br.,193,24
ebenus l.,81,72
echinochloa beauv.,193,134
echinocystis torrey  a. gray,117,7
echinophora l.,129,10
echinops l.,169,110
echium l.,148,14
eclipta l.,169,43
egeria planchon,172,4
eichornia kunth,187,3
elaeagnus l.,108,2
eleocharis r. br.,199,4
eleusine gaertner,193,124
elisma buchenau,170,3
elodea michx,172,5
elodes adanson,109,1
elyna schrader,199,11
elytrigia desv.,193,48
emex campd.,47,9
empetrum l.,133,2
enarthrocarpus labili.,68,107
endressia gay,129,74
endymion dumort.,183,28
ephedra l.,30,1
epilobium l.,123,5
epimedium l.,63,4
epipactis zinn,203,2
epipogium r. br.,203,5
equisetum l.,4,1
eragrostis n. m. wolf,193,121
eranthis salisb.,61,2
erechtites rafin.,169,95
eremopoa roshev.,193,18
eremostachys bunge,151,8
eremurus bieb.,183,9
erica l.,132,1
erigeron l.,169,8
erinacea adanson,81,23
erinus l.,154,18
eriobotrya lindley,80,29
eriocaulon l.,192,1
eriochloa kunth,193,136
eriophorum l.,199,3
eritrichium schrader ex gaudin,148,30
eruca miller,68,90
erucaria gaertner,68,99
erucastrum c. presi,68,91
eryngium l.,129,7
erysimum l.,68,18
erythronium l.,183,21
eschscholzia cham.,66,7
euclidium r. br.,68,34
euonymus l.,100,1
eupatorium l.,169,1
euphorbia l.,87,7
eurotia auct.nonadanson,48,8
eutrema r. br.,68,7
euzomodendron cosson,68,86
evacidium pomel,169,19
evax gaertner,169,16
eversmannia bunge,81,69
exaculum caruel,140,2
fagonia l.,85,2
fagopyrum miller,47,5
fagus l.,36,1
falcarla fabr.,129,70
fascicularia mez,190,1
fedia gaertner,166,3
ferula l.,129,86
ferulago koch,129,87
festuca l.,193,4
fibigia medicus,68,51
filaginella opiz,169,22
filipendula miller,80,6
fimbristylis vahl,199,6
foeniculum miller,129,40
fontanesia labili.,139,2
forsythia vahl,139,3
fragaria l.,80,21
frangula miller,103,4
frankenia l.,114,1
fraxinus l.,139,4
freesia ecklon ex klatt,88,6
fuirena rottb.,199,5
fumana dunal,,
furcraea vent.,184,2
gagea salisb.,183,20
gaillardia foug.,169,54
galactites moench,169,123
galanthus l.,185,4
galega l.,81,32
galeopsis l.,151,10
gamochaeta weddell,169,21
garidella l.,61,5
gastridium beauv.,193,88
gaudinia beauv.,193,66
gaudiniopsis eig,193,67
gaultheria l.,132,14
gazania gaertner,169,104
gelasia cass.,169,161
genistella ortega,81,17
gennaria pari.,203,10
